"Year","Weather_Pattern","Flow_Scenario","Flow_Threshold","Min_Days_Post_Peak","16","17","18","20"
1930,"High","Alt.1b",17500,3,"06-17","06-17","06-17","Fail"
1930,"High","Alt.2b",17500,3,"06-17","06-17","06-17","Fail"
1949,"High","Alt.1b",17500,3,"06-17","06-17","06-17","Fail"
1949,"High","Alt.2b",17500,3,"06-16","06-16","06-16","Fail"
1966,"Low","Alt.2b",17500,3,"06-25","Fail","Fail","Fail"
1975,"Median","Alt.1a",17500,3,"08-03","08-03","08-03","08-03"
1975,"Median","Alt.1b",17500,3,"08-03","08-03","08-03","08-03"
1975,"Median","Alt.2",17500,3,"08-03","08-03","08-03","08-03"
1975,"Median","Alt.2a",17500,3,"08-03","08-03","08-03","08-03"
1975,"Median","Alt.2b",17500,3,"08-03","08-03","08-03","08-03"
1975,"Median","Alt1",17500,3,"08-03","08-03","08-03","08-03"
1975,"Median","No.Act",17500,3,"08-03","08-03","08-03","08-03"
1976,"Median","Alt.1b",17500,3,"08-03","08-03","08-03","08-03"
1976,"Median","Alt.2",17500,3,"08-03","08-03","08-03","08-03"
1976,"Median","Alt.2b",17500,3,"08-03","08-03","08-03","08-03"
1976,"Median","Alt1",17500,3,"08-03","08-03","08-03","08-03"
1976,"Median","No.Act",17500,3,"08-03","08-03","08-03","08-03"
1980,"Median","Alt.1b",17500,3,"06-19","06-19","Fail","Fail"
1980,"Median","Alt.2",17500,3,"06-14","06-19","Fail","Fail"
1980,"Median","Alt.2b",17500,3,"06-18","06-19","06-25","Fail"
1980,"Median","Alt1",17500,3,"06-14","Fail","Fail","Fail"
1983,"Median","Alt.1b",17500,3,"06-21","06-21","Fail","Fail"
1983,"Median","Alt.2",17500,3,"06-14","06-19","Fail","Fail"
1983,"Median","Alt.2b",17500,3,"06-18","06-19","Fail","Fail"
1983,"Median","Alt1",17500,3,"06-14","06-19","Fail","Fail"
1985,"Median","Alt.1b",17500,3,"06-21","06-21","06-25","Fail"
1985,"Median","Alt.2",17500,3,"06-14","06-19","Fail","Fail"
1985,"Median","Alt.2b",17500,3,"06-18","06-19","06-25","Fail"
1985,"Median","Alt1",17500,3,"06-14","06-19","Fail","Fail"
1986,"High","Alt.2",17500,3,"06-09","Fail","Fail","Fail"
1987,"High","Alt.1a",17500,3,"06-07","Fail","Fail","Fail"
1987,"High","Alt.1b",17500,3,"06-18","06-18","06-18","Fail"
1987,"High","Alt.2",17500,3,"06-10","06-11","06-16","Fail"
1987,"High","Alt.2a",17500,3,"06-07","06-11","Fail","Fail"
1987,"High","Alt.2b",17500,3,"06-18","06-18","06-18","Fail"
1987,"High","Alt1",17500,3,"06-10","06-11","Fail","Fail"
1994,"Median","Alt.1b",17500,3,"06-15","Fail","Fail","Fail"
1997,"High","Alt.1a",17500,3,"08-03","08-03","08-03","08-03"
1997,"High","Alt.1b",17500,3,"08-03","08-03","08-03","08-03"
1997,"High","Alt.2",17500,3,"08-03","08-03","08-03","08-03"
1997,"High","Alt.2a",17500,3,"08-03","08-03","08-03","08-03"
1997,"High","Alt.2b",17500,3,"08-03","08-03","08-03","08-03"
1997,"High","Alt1",17500,3,"08-03","08-03","08-03","08-03"
1997,"High","No.Act",17500,3,"08-03","08-03","08-03","08-03"
2000,"Median","Alt.1b",17500,3,"06-16","Fail","Fail","Fail"
2000,"Median","Alt.2b",17500,3,"06-14","Fail","Fail","Fail"
2000,"Median","Alt1",17500,3,"06-14","Fail","Fail","Fail"
2011,"Low","Alt.1a",17500,3,"06-25","07-02","07-09","Fail"
2011,"Low","Alt.1b",17500,3,"06-25","07-02","07-09","Fail"
2011,"Low","Alt.2",17500,3,"06-25","07-02","07-09","Fail"
2011,"Low","Alt.2a",17500,3,"06-25","07-02","07-09","Fail"
2011,"Low","Alt.2b",17500,3,"06-25","07-02","07-09","Fail"
2011,"Low","Alt1",17500,3,"06-25","07-02","07-09","Fail"
2011,"Low","No.Act",17500,3,"06-25","07-02","07-09","Fail"
2012,"Median","Alt1",17500,3,"06-14","Fail","Fail","Fail"
